date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:42:30	130/130	---M--	200	added ('OK')	image/png	etag:%225ba00db-82-57d0315aa32cd%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_rounded/contentPattern.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_rounded/contentPattern.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:31	1411/1411	---M--	200	added ('OK')	image/png	etag:%225ba00da-583-57d03159ad90c%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_rounded/btnNext.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_rounded/btnNext.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:32	1442/1442	---M--	200	added ('OK')	image/png	etag:%225ba00d8-5a2-57d03159a92bc%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_rounded/btnPrevious.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_rounded/btnPrevious.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:33	2545/2545	---M--	200	added ('OK')	image/gif	etag:%225ba00dd-9f1-57d0315ba480f%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_rounded/loader.gif	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_rounded/loader.gif	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:34	2545/2545	---M--	200	added ('OK')	image/gif	etag:%225ba00e3-9f1-57d0316123442%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_square/loader.gif	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_square/loader.gif	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:35	3507/3507	---M--	200	added ('OK')	image/png	etag:%225ba00e4-db3-57d031612d853%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_square/sprite.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_square/sprite.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:36	1411/1411	---M--	200	added ('OK')	image/png	etag:%225ba00df-583-57d0315ef8d03%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_square/btnNext.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_square/btnNext.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:38	1442/1442	---M--	200	added ('OK')	image/png	etag:%225ba00e0-5a2-57d0315efdb23%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_square/btnPrevious.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/dark_square/btnPrevious.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:38	3507/3507	---M--	200	added ('OK')	image/png	etag:%225ba00fe-db3-57d03176ceb96%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_square/sprite.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_square/sprite.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
12:42:39	1411/1411	---M--	200	added ('OK')	image/png	etag:%225ba00fb-583-57d03174dbefb%22	http://povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_square/btnNext.png	/storage/emulated/0/HTTrack/Websites/404/povestea-noastra.com/theme/help404/_landing/images/prettyPhoto/light_square/btnNext.png	(from http://povestea-noastra.com/theme/help404/_landing/css/prettyPhoto.css)
